train_id,name,item_condition_id,brand_name,price,shipping,item_description,category_1,category_2,category_3,log_price,ship_chr,brand,model,year,origin_price ($),origin_price_sub_min,origin_price_sub_median,memory(GB),CPU (type),new_cpu,CPU (GHz),OS version,screen inch,storage (GB),cellular (YN),accessories (YN),accessories,locked (YN),etc,cpu_cnt,GHz,ship_fee_included
168237,Samsung Galaxy Tab 10.1,2,Samsung,121,0,"Samsung Galaxy Tab 10.1, WiFi Only 32GB. Slightly used and a few starches on it. Any questions please ask!",Electronics,Computers & Tablets,iPad,4.795790546,paid,Samsung,Tab,2011.0,679,679.0,679.0,1.0,Dual core,dual core,1.0 GHz,Android 3.0,10.1,32.0,N,N,,N,,2.0,1.0,Yes
172410,GALAXY S3 TABLET,3,Samsung,39,0,"Tablet is in great condition, the screen is perfect. The screen protector has the scratches. Comes with otter box case",Electronics,Computers & Tablets,iPad,3.663561646,paid,Samsung,Tab S3 ,2017.0,599,599.0,599.0,4.0,Quad core,quad core,2x2.15 GHz & 2x1.6 GHz ,Android 7.0,9.7,32.0,N,Y,case,N,,4.0,2.16,Yes
174501,Samsung Galaxy Tablet Pro,3,Samsung,106,0,"White 16g. No scratches, or cracks! 10.1 in. 16gb.Just dont use it! It does not have a charger. No flaws!!",Electronics,Computers & Tablets,iPad,4.663439094,paid,Samsung,Tab Pro,2014.0,499,499.0,499.0,2.0,Octa core,octa core,4x1.9 GHz Cortex-A15 & 4x1.3 GHz Cortex-A7,Android 4.4,10.1,16.0,N,N,,N,,8.0,1.6,Yes
177689,Samsung tablet 4,2,Samsung,76,0,White samsung tablet 4.. 7.0... 8gb.. light scratch on screen you can't even see it..,Electronics,Computers & Tablets,iPad,4.33073334,paid,Samsung,Tab 4,2014.0,199.99,199.99,199.99,1.5,Quad core,quad core,1.2 GHz,Android 4.4.2,7.0,8.0,N,N,,N,,4.0,1.2,Yes
179323,Samsung Galaxy Tab 2 10.1,2,Samsung,86,0,Brand New Never Used!,Electronics,Computers & Tablets,iPad,4.454347296,paid,Samsung,Tab 2,2012.0,399.99,399.99,399.99,1.0,Dual core,dual core,1.0 GHz,Android 4.0.3,10.1,16.0,N,N,,N,,2.0,1.0,Yes
179346,Galaxy Tab 4,3,Samsung,56,0,"Galaxy Tab 4. I don't use it anymore. It works great, no functional flaws, but there are cosmetic flaws(smudges, dings on the corners) Does not come with a charger, but it uses a micro USB plug(standard android phone chargers) Uses wifi, there's no company to connect to.",Electronics,Computers & Tablets,iPad,4.025351691,paid,Samsung,Tab 4,2014.0,199.99,199.99,199.99,1.5,Quad core,quad core,1.2 GHz,Android 4.4.2,7.0,8.0,N,N,,N,,4.0,1.2,Yes
206734,Tab e sprint like new,2,Samsung,66,0,Tab e sprint like new,Electronics,Computers & Tablets,iPad,4.189654742,paid,Samsung,Tab e,2016.0,150,150.0,150.0,1.5,Quad core,quad core,1.3 GHz,Android 5.1.1,8.0,16.0,N,N,,N,,4.0,1.3,Yes
223338,Samsung Galaxy Tab Pro 10 Tablet NEW,1,Samsung,176,1,"The Samsung Galaxy Tab Pro 10.1"" Tablet 16GB brings rich HD graphics and deeper clarity to all your work and entertainment on its high-resolution screen. 1.9GHz Quad-Core processor 2GB of system memory 10.1"" touchscreen, 2560 x 1600 resolution, virtual keyboard Built-in 802.11a/b/g/n/ac WiFi and Bluetooth v4.0 LE Additional Features: Back 8MP webcam and front 2MP HD webcam with microphone microUSB 2.0 port 16GB on-board storage memory, additional memory via microSD card slot Built-in speakers GPS with GLONASS Rechargeable 8220mAh lithium polyer battery Weighs 1.07 lbs; 9.57"" x 6.57"" x 0.29"" dimensions Software and Applications: Android 4.4 OS (Kit Kat)",Electronics,Computers & Tablets,iPad,5.170483995,free,Samsung,Tab Pro,2014.0,499,499.0,499.0,2.0,Octa core,octa core,4x1.9 GHz Cortex-A15 & 4x1.3 GHz Cortex-A7,Android 4.4,10.1,16.0,N,N,,N,,8.0,1.6,No
235756,Samsung Tab 4 Tablet,3,Samsung,65,1,Great shape no charger 7 in 16gb,Electronics,Computers & Tablets,iPad,4.17438727,free,Samsung,Tab 4,2014.0,199.99,199.99,199.99,1.5,Quad core,quad core,1.2 GHz,Android 4.4.2,7.0,16.0,N,N,,N,,4.0,1.2,No
237534,Samsung Galaxy Tab A 10.1 16gb Black,2,Samsung,134,0,"Comes with case and screen protector already on it. Android 6.0 (Marshmallow) operating system Productivity and entertainment at your fingertips. Download apps, games, movies, music and eBooks from Google Play. Cloud integration provides a seamless experience across all Android devices. 10.1"" screen with 1920 x 1200 resolution This high-resolution screen is ideal for gaming and streaming HD content. 16GB internal storage Plenty of space for music, movies, photos, and more. Octa-core processor The right combination of fast performance and power efficiency. It allows rapid multitasking, delivers smooth response and unleashes stunning graphics. Dual cameras for photos and face-to-face chat 2MP front camera and 8MP rear camera. Selling as is excellent working condition only couple months old",Electronics,Computers & Tablets,iPad,4.8978398,paid,Samsung,Tab A,2016.0,329,329.0,329.0,2.0,Octa core,octa core,4x1.6 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53,Android 6.0,10.1,16.0,N,N,,N,,8.0,1.3,Yes
240137,Samsung Galaxy Tab4,2,Samsung,90,1,"Never use, in awesome shape. Just needs new charger. At a Glance: High-resolution, 10.1-inch display for vivid detail Watch movies, play games, read, browse the web, and more IR blaster allows you to use tablet as universal remote Search TV listings and receive recommendations Share your tablet with multi-user mode Switch to Kids Mode for a colorful, easy-to-use interface Rear and front cameras for photos and video chat Add up to 64 GB memory with microSD slot Easily multitask with two apps using Multi Window Lightweight, portable design",Electronics,Computers & Tablets,iPad,4.49980967,free,Samsung,Tab4,2014.0,179,179.0,179.0,1.5,Quad core,quad core,1.2 GHz,Android 4.4.2,10.1,16.0,N,N,,N,,4.0,1.2,No
241119,Samsung galaxy 10.1 tablet - 32GB,3,Samsung,160,1,"Tablet was purchased through T-mobile. Hardly used. Screen is like new. Imei is clean, ask for it if you want to check yourself. It comes with stylus pen. 32 GB. No charger though, unless I can find it, but uses regular android charger. Free shipping!!!",Electronics,Computers & Tablets,iPad,5.075173815,free,Samsung,Tab,2011.0,729,729.0,729.0,1.0,Dual core,dual core,1.0 GHz,Android 3.0,10.1,32.0,N,Y,charger,N,,2.0,1.0,No
255425,"samsung galaxy tab3. parts 10"" screen",4,Samsung,29,0,"parts but it turns on and you can see part of the keyboard etc.. excellent shape, screen has no cracks at all just looks like it was pressed and makes that oil marks. has the pen too.",Electronics,Computers & Tablets,iPad,3.36729583,paid,Samsung,Tab 3,2013.0,399,399.0,399.0,1.0,Dual core,dual core,1.6 GHz,Android 4.2.2,10.1,16.0,N,Y,pen,N,,2.0,1.6,Yes
279355,Samsung Galaxy Tab 3 Lite,3,Samsung,59,1,Very good condition. No issues. 8 GB,Electronics,Computers & Tablets,iPad,4.077537444,free,Samsung,Tab 3 Lite,2015.0,159.99,159.99,159.99,1.0,Quad core,quad core,1.3 GHz,Android 4.4.4,7.0,8.0,N,N,,N,,4.0,1.3,No
283833,SAMSUNG GALAXY TAB 2,2,Samsung,51,0,Older generation galaxy tab. Can use apps over wifi. Perfect condition as I have only used it a few times since buying it. It has a hard cover case which can be used as a stand as well. A cloth to clean the screen and the charger. Perfect starter tablet for children. Looks and works brand new. Color: black.,Electronics,Computers & Tablets,iPad,3.931825633,paid,Samsung,Tab 2,2012.0,,,,1.0,Dual core,dual core,1.0 GHz,Android 4.0.3,,,N,Y,case \ screen cloth \ charger,N,Unknown (no info),2.0,1.0,Yes
295658,"Samsung Galaxy Tab S 10.5""",2,Samsung,81,0,"It was about [rm] when I first bought it, so this is a bit of a ""steal"" it comes with a Samsung charging brick and charger. It is white of course, 16GB, and the service is U.S. Cellular, so it can have a SIM card put in. It is very fast, and it will be completely master reset.",Electronics,Computers & Tablets,iPad,4.394449155,paid,Samsung,Tab S,2018.0,499,499.0,499.0,4.0,Octa core,octa core,4x2.35 GHz Kryo & 4x1.9 GHz Kryo,Android 8.1,10.5,16.0,Y,N,,N,,8.0,1.83,Yes
311654,Samsung galaxy tab 4,1,Samsung,91,0,"Retails for [rm] Mint condition, never really used White It says 10.1 display screen, however the actual screen measures 7"" Will come with charger Make an offer but nothing ridiculous!",Electronics,Computers & Tablets,iPad,4.510859507,paid,Samsung,Tab 4,2014.0,349.99,349.99,349.99,1.5,Quad core,quad core,1.2 GHz,Android 4.4.2,10.1,16.0,N,Y,Charger,N,,4.0,1.2,Yes
320524,"LN Samsung Galaxy Tab 3 Tablet, [rm]",2,Samsung,61,0,"LN Samsung Galaxy Tab 3 Tablet. Bought and used for approximately one month because I upgraded to a different style. It is in Like New condition. There are no scratches and it looks brand new. Unlocked It has memory storage of 16GB and ram is 1.56B. Does not include the charger or original box, but will be packaged securely when purchased. Sorry no free shipping! Check out my closet for more great deals :)",Electronics,Computers & Tablets,iPad,4.110873863999998,paid,Samsung,Tab 3,2013.0,299,299.0,299.0,1.5,Dual core,dual core,1.5 GHz,Android 4.2.2,8.0,16.0,N,N,,N,,2.0,1.5,Yes
322675,Samsung Galaxy Tab S2 White 32GB,3,Samsung,126,0,"The tablet is in Excellent condition. The only thing Im selling it for cheap because t has a line crack on the screen, it is hard to see in the picture. Otherwise the tablet is 100% functional. If you are looking for a cheap and nice tablet and this is the one for you. Model number: SM-T810 Size: 9.7"" Color: White",Electronics,Computers & Tablets,iPad,4.836281907,paid,Samsung,Tab S2,2015.0,499,499.0,499.0,3.0,Octa core,octa core,4x1.9 GHz & 4x1.3 GHz ,Android 5.0.2,9.7,32.0,N,N,,N,,8.0,1.6,Yes
326147,Samsung galaxy tab 2 7.0,3,Samsung,65,1,"Samsung Galaxy tab 2 7.0 in EUC. Barely used and still has plastic backing on the back of the device. Comes with original box, instruction packet and charger. Will also include a blue bumper case.",Electronics,Computers & Tablets,iPad,4.17438727,free,Samsung,Tab 2,2012.0,250,250.0,250.0,1.0,Dual core,dual core,1.0 GHz,Android 4.0.3,7.0,8.0,N,Y,Charger \ instruction packet\Case,N,,2.0,1.0,No
335961,Samsung Galaxy Tab 4,3,Samsung,54,0,8G Samsung tablet,Electronics,Computers & Tablets,iPad,3.988984047,paid,Samsung,Tab 4,2014.0,199.99,199.99,199.99,1.5,Quad core,quad core,1.2 GHz,Android 4.4.2,7.0,8.0,N,N,,N,,4.0,1.2,Yes
363150,Samsung tablet,2,Samsung,70,0,"Samsung Galaxy Tab E Lite. White, 7"", 8GB internal memory with slot for micro sd card to add more. Perfect, like new condition. Still under manufacturers warranty until 3/23/18. Just a few months old. Nothing wrong with it, just don't use like we thought we would. Also includes soft black travel case with velcro closure. No free shipping",Electronics,Computers & Tablets,iPad,4.248495242,paid,Samsung,Tab E Lite,2015.0,119,119.0,119.0,1.0,Quad core,quad core,1.3 GHz,Android 4.4,7.0,8.0,N,Y,case,N,,4.0,1.3,Yes
365993,Verizon 4G LTE 8 GB,2,Verizon,26,0,"Comes with original box, charger, and tablet",Electronics,Computers & Tablets,iPad,3.258096538,paid,Others,Ellipsis 7,2013.0,250,250.0,250.0,1.0,Quad core,quad core,1.2 GHz,Android 4.2 Jelly Bean,7.0,8.0,Y,Y,original box\ charger\ tablet,N,,4.0,1.2,Yes
371236,Galaxy tablet 4,2,Samsung,61,0,Used good condition wifi 8 g no charger no box,Electronics,Computers & Tablets,iPad,4.110873863999998,paid,Samsung,Tab 4,2014.0,199.99,199.99,199.99,1.5,Quad core,quad core,1.2 GHz,Android 4.4.2,7.0,8.0,N,N,,N,,4.0,1.2,Yes
379006,Samsung Galaxy Tab E Lite,1,Samsung,116,0,"Is Brand new, Samsung Galaxy tab E lite Color white 8g Size 7.0",Electronics,Computers & Tablets,iPad,4.753590191,paid,Samsung,Tab E Lite,2015.0,119,119.0,119.0,1.0,Quad core,quad core,1.3 GHz,Android 4.4,7.0,8.0,N,N,,N,,4.0,1.3,Yes
387277,"Samsung galaxy Tab A 7""",1,Samsung,96,0,"- New in the box - Color : Black - 7"" / 8GB / Wi-Fi only",Electronics,Computers & Tablets,iPad,4.5643481910000006,paid,Samsung,Tab A,2016.0,329,329.0,329.0,1.5,Quad core,quad core,1.3 GHz,Android 5.1.1,7.0,8.0,N,N,,N,,4.0,1.3,Yes
389227,Samsung Galaxy Tab A 7inch (2016),2,Samsung,81,0,Selling a barely used Samsung Galaxy Tab A 7inch. P Condition: ??No Scratches ??No Dents ??No Blemishes ??Unlocked Includes: ??Original Box ??Power cord and adapter ??Galaxy Tab A 7inch 8gb Everything was restored to factory default settings so you can start fresh. Storage is EXPANDABLE up to 200gb with a micro SD,Electronics,Computers & Tablets,iPad,4.394449155,paid,Samsung,Tab A,2016.0,329,329.0,329.0,1.5,Quad core,quad core,1.3 GHz,Android 5.1.1,7.0,8.0,N,Y,adapter,N,,4.0,1.3,Yes
393655,"Galaxy Tab E ,NEW IN BOX",1,Samsung,116,0,9.6 / 17 Gb / wifi BLACK,Electronics,Computers & Tablets,iPad,4.753590191,paid,Samsung,Tab E,2015.0,150,150.0,150.0,1.5,Quad core,quad core,1.3 GHz,Android 4.4,9.6,16.0,N,N,,N,,4.0,1.3,Yes
396129,Samsung Galaxy Tab 4 Nook,2,Samsung,75,1,"7.0"" Samsung Galaxy Tab 4 with Nook capability Wifi 8GB with option for external memory Mint condition Comes with Case from Barnes and Noble",Electronics,Computers & Tablets,iPad,4.317488114,free,Samsung,Tab 4,2014.0,199.99,199.99,199.99,1.5,Quad core,quad core,1.2 GHz,Android 4.4.2,7.0,8.0,N,Y,case,N,,4.0,1.2,No
413547,Samsung galaxy tablet 3,3,Samsung,60,1,"Samsung Galaxy Tab 3 (7 inch display), 8 GB, black. Comes with fuchsia case if you like. Barely used. Unlocked by Sprint Has original charger Sorry no box my grandson got to it so sorry. Ready to use.",Electronics,Computers & Tablets,iPad,4.094344562,free,Samsung,Tab 3,2014.0,199,199.0,199.0,1.0,Dual core,dual core,1.2 GHz,Android 4.2,7.0,8.0,N,Y,case,N,,2.0,1.2,No
427252,Samsung Tab 2 10.1,3,Samsung,46,0,No description yet,Electronics,Computers & Tablets,iPad,3.828641396,paid,Samsung,Tab 2,2012.0,399.99,399.99,399.99,1.0,Dual core,dual core,1.0 GHz,Android 4.0.3,10.1,16.0,N,N,,N,,2.0,1.0,Yes
429952,Samsung Galaxy Tab 3,2,Samsung,80,1,"INCLUDES Samsung Galaxy Tab 3 Official Samsung Flip Case Original Box for Tab Original Box for Case Original Receipt 7"" Display Wi-Fi 8GB Memory + Expandable storage Front and Rear camera Perfect condition. Absolutely ZERO scuffs or scratches. Looks brand new. Factory reset. Message me if you have any questions!",Electronics,Computers & Tablets,iPad,4.382026635,free,Samsung,Tab 3,2014.0,199,199.0,199.0,1.0,Dual core,dual core,1.2 GHz,Android 4.2,7.0,8.0,N,N,,N,,2.0,1.2,No
435336,Samsung Tab 3 7 inch tablet,3,Samsung,59,1,NEW TABLET was opened for testing functionality has only had 1-3 charge cycles Samsung Galaxy Tab 3 7.0 Cellular Sprint / WIFI 4G LTE on Sprint Network 1.7 GHz dual core processor Mobile hotspot capability Black Reset and ready for a new user If you have any questions feel free to ask Ships next day,Electronics,Computers & Tablets,iPad,4.077537444,free,Samsung,Tab 3,2014.0,199,199.0,199.0,1.0,Dual core,dual core,1.2 GHz,Android 4.2,7.0,8.0,Y,N,,N,,2.0,1.2,No
438705,"Samsung Galaxy E Tablet 7""",2,Samsung,66,0,"In great condition! Comes with box, charger, screen protector! It works great. I am getting a new tablet that better fits my needs.",Electronics,Computers & Tablets,iPad,4.189654742,paid,Samsung,Tab E,2015.0,150,150.0,150.0,1.0,Quad core,quad core,1.3 GHz,Android 4.4,7.0,8.0,N,Y,box \ charger \ screen protector,N,,4.0,1.3,Yes
459089,Samsung Galaxy Tab 4 16gb,3,Samsung,65,1,"Samsung Galaxy Tab 4 (7.0"") Good condition Comes with charger and box with manuals Fast Free Shipping!!! WiFi Two free cases",Electronics,Computers & Tablets,iPad,4.17438727,free,Samsung,Tab 4,2014.0,199.99,199.99,199.99,1.5,Quad core,quad core,1.2 GHz,Android 4.4.2,7.0,16.0,N,Y,charger,N,,4.0,1.2,No
462905,Samsung.galaxy tab2,3,Samsung,40,1,samsung galaxy tab 2 8gb wi-fi,Electronics,Computers & Tablets,iPad,3.688879454,free,Samsung,Tab 2,2012.0,250,250.0,250.0,1.0,Dual core,dual core,1.0 GHz,Android 4.0.3,7.0,8.0,N,N,,N,,2.0,1.0,No
475809,Samsung galaxy tab 4,2,Samsung,96,0,8 gb Bought for 120 but never used it. Great conditions no scratches,Electronics,Computers & Tablets,iPad,4.5643481910000006,paid,Samsung,Tab 4,2014.0,199.99,199.99,199.99,1.5,Quad core,quad core,1.2 GHz,Android 4.4.2,7.0,8.0,N,N,,N,,4.0,1.2,Yes
488680,Samsung Galaxy Tablet,2,Samsung,160,1,"Samsung Galaxy 10.1 tablet, 2014 edition. Excellent condition--works fine, charges, no cracks in screen. Comes with charger and case/cover. Open to offers!",Electronics,Computers & Tablets,iPad,5.075173815,free,Samsung,Tab 4,2014.0,349.99,349.99,349.99,1.5,Quad core,quad core,1.2 GHz,Android 4.4.2,10.1,16.0,N,Y,charger \ case,N,,4.0,1.2,No
502333,Samsung Tab 4-Nook Edition,2,Samsung,55,1,"PRICE REDUCED!! This is in excellent condition! Gently used! Great for those who want a great e-reader or just need a tablet for on the go. This tablet is a Barnes and Noble edition and comes with Nook apps. Also, comes with Google apps and the Google play store already installed. ?틻lso, has both a front and rear-facing camera. Wi-Fi and 3G compatible. This listing includes a 16 GB micro SD card for additional storage and an authentic Otterbox case. ?틻lso, comes with original?팧harger as well.??Comes from a smoke-free and pet-free home. No returns accepted; final sale only!",Electronics,Computers & Tablets,iPad,4.007333185,free,Samsung,Tab 4,2014.0,199.99,199.99,199.99,1.5,Quad core,quad core,1.2 GHz,Android 4.4.2,7.0,16.0,Y,Y,case,N,,4.0,1.2,No
515531,Samsung galaxy tab 2 16gb 10.1 inch,3,Samsung,96,0,"For sale a hardly used but in good condition samsung galaxy tab 2 10.1 16gb GT-P5113 Does have a tiny scratch on the screen but not at all noticeable, in the back Some noticeable wear, which does not affect their functions, it works perfectly.",Electronics,Computers & Tablets,iPad,4.5643481910000006,paid,Samsung,Tab 2,2012.0,399.99,399.99,399.99,1.0,Dual core,dual core,1.0 GHz,Android 4.0.3,10.1,16.0,N,N,,N,,2.0,1.0,Yes
518263,SAMSUNG GALAXY 4 TABLET 8.0 16 GB,2,Samsung,61,0,"Used in very good condition, needs the middle part of charger. TABLET IS IN EXCELLENT CONDITION!",Electronics,Computers & Tablets,iPad,4.110873863999998,paid,Samsung,Tab 4,2014.0,269.99,269.99,269.99,1.5,Quad core,quad core,1.2 GHz,Android 4.4.2,8.0,16.0,N,N,,N,,4.0,1.2,Yes
518306,Galaxy Tab 4,1,Samsung,70,1,"7"" White 8GB WiFi Only 800 x 1280 Resolution Supports microSD 32GB 3.15 MP Primary Camera 1.3 MP Secondary Camera Stereo Speakers 3.5mm Headphone Jack Bluetooth 4.0 + Exclusive Jack Casino Case + microUSB Charger -*-*-*-*-*- NOTE: Never been used. Absolutely new package and product. Only opened once to check functionality - everything passes. Flawless display. Clear and loud audio. Responsive touch and tactile buttons. Selling because unneeded.",Electronics,Computers & Tablets,iPad,4.248495242,free,Samsung,Tab 4,2014.0,199.99,199.99,199.99,1.5,Quad core,quad core,1.2 GHz,Android 4.4.2,7.0,8.0,N,Y,case \ charger,N,,4.0,1.2,No
532443,Ellipsis 7 Tablet,2,Verizon,80,0,"This is a great tablet! This is my husband's he maybe used it 10 times, he just doesn't use it like I thought he would. But I love mine!! Like New Comes with case 7 inch Storage 8 GB Connectivity 4G",Electronics,Computers & Tablets,iPad,4.382026635,paid,Others,Ellipsis 7,2013.0,250,250.0,250.0,1.0,Quad core,quad core,1.2 GHz,Android 4.2 Jelly Bean,7.0,8.0,Y,Y,case,N,,4.0,1.2,Yes
549479,Samsung Galaxy Tab S2,3,Samsung,220,1,32gb wifi version. Great condition. Comes with the box. No trades.,Electronics,Computers & Tablets,iPad,5.393627546,free,Samsung,Tab s2,2015.0,399 ~,399.0,399.0,3.0,Octa core,octa core,4x1.9 GHz & 4x1.3 GHz ,Android 5.0.2,8.0,32.0,N,N,,N,,8.0,1.6,No
